,County,Region,Population,Incidence_Population_at_Risk,Incidence_Cases,Incidence_Crude_Rate,Incidence_Age-adjusted_Rate,Incidence_95per_Confidence_Interval_Lower_Limit,Incidence_95per_Confidence_Interval-Upper_Limit,Mortality_Population_at_Risk,Mortality_Deaths,Mortality_Crude_Rate,Mortality_Age-adjusted_Rate,Mortality_95per_Confidence_Interval-Lower_Limit,Mortality_95per_Confidence_Interval-Upper_Limit,,Combined Invasive Cancer Rates and Cancer Mortality Rates by County in California
1,Shasta,North,894711,894711,5772,645.12,472.38,459.77,485.27,894711,2257,252.26,178.16,170.71,185.87,,"All Sites, 2011-2015."
2,Butte,North,1112822,1112822,6241,560.83,452.44,440.85,464.27,1112822,2459,220.97,171.64,164.72,178.8,,
3,Placer,Sacramento,1831401,1831401,10480,572.24,448.17,439.44,457.04,1831401,3536,193.08,146.72,141.85,151.72,,"Note (1): Rates generated on April 16, 2019."
4,Colusa - Glenn - Tehama,North,562885,562885,3007,534.21,441.72,425.72,458.19,562885,1211,215.14,177.41,167.42,187.88,,"Note (2): All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
5,Napa,North,701473,701473,3912,557.68,439.35,425.35,453.72,701473,1443,205.71,157.57,149.37,166.13,,"Note (3): Due to population size, some geographically close counties were combined for purposes of count in the data set these rates were generated from."
6,Marin,Bay Area,1291747,1291747,7853,607.94,431.86,421.97,441.95,1291747,2392,185.18,126.81,121.63,132.17,,Note (4): Incidence rates are based on Jan 2018 data. Excludes cases reported by the Department of Veterans Affairs.
7,El Dorado,Sacramento,910466,910466,5314,583.66,431.52,419.44,443.88,910466,1750,192.21,144.78,137.86,151.99,,Note (5): Mortality rates are based on 1988-2015 death master files.
8,Del Norte - Humboldt,North,814106,814106,4136,508.04,431.09,417.56,444.96,814106,1631,200.34,169.6,161.21,178.33,,
9,Sacramento,Sacramento,7329161,7329161,32822,447.83,430.95,426.21,435.72,7329161,12261,167.29,163.6,160.66,166.57,,Incidence Rate Citations
10,Solano,Sacramento,2128767,2128767,10065,472.81,430.05,421.45,438.78,2128767,3810,178.98,168.35,162.92,173.92,,"MLA: Age-Adjusted Invasive Cancer Incidence Rates by County in California, 2011 - 2015. Based on Jan 2018 data. Excludes cases reported by the Department of Veterans Affairs. Cancer-Rates.info. Accessed on Apr 16, 2019. California Cancer Registry. <http://cancer-rates.info/ca/>"
11,San Luis Obispo,Tri-County,1382585,1382585,7515,543.55,427.76,417.75,437.95,1382585,2557,184.94,139.76,134.24,145.47,,"APA: Age-Adjusted Invasive Cancer Incidence Rates by County in California, 2011 - 2015. Based on Jan 2018 data. Excludes cases reported by the Department of Veterans Affairs. California Cancer Registry. Cancer-Rates.info. Retrieved Apr 16, 2019, from http://cancer-rates.info/ca/"
